,0,1,2,3
24,1,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1033.4369431629013, 0.9958620689655172, 4.573634766493044e-06]"
25,1,[   0    1    5 ... 2875 2876 2879],[ 2  5  8 10 11 12 13 15 16],"[908.4764016577923, 0.9935064935064936, 4.710470657447019e-06]"
26,1,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
27,1,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.4148415323277, 0.9953426480372588, 4.930767307278219e-06]"
28,1,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
29,1,[   0    1    3 ... 2876 2879 2881],[ 1  7  8  9 11 12 14 15],"[920.9436706454244, 0.9943899018232819, 4.878531868277458e-06]"
30,1,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[874.7621082174019, 0.9965373961218836, 4.548337752861832e-06]"
31,1,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.0523453821859, 0.9931082012405238, 4.70637003071795e-06]"
32,1,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.5120373728153, 0.9930986887508627, 4.71236048336119e-06]"
33,1,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.2111431572829, 0.9959072305593452, 4.600767049219643e-06]"
34,1,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
35,1,[   1    2    6 ... 2879 2880 2881],[ 4  6  7  8 10 11 13 14],"[761.409319138696, 0.9945872801082544, 4.70576951530503e-06]"
36,1,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5244544433701, 0.9931224209078404, 4.786424645799517e-06]"
37,1,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.6291733835528, 0.995850622406639, 5.185630181406215e-06]"
38,1,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[873.4008347465104, 0.9965373961218836, 4.546803564868791e-06]"
39,1,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1111.4667968190427, 0.9909972299168975, 4.648590139155275e-06]"
40,2,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
41,2,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
42,2,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1110.8363336864363, 0.990990990990991, 4.650085925279627e-06]"
43,2,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
44,2,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1033.4369431629013, 0.9958620689655172, 4.573634766493044e-06]"
45,2,[   0    1    5 ... 2875 2876 2879],[ 2  5  8 10 11 12 13 15 16],"[908.4764016577923, 0.9935064935064936, 4.710470657447019e-06]"
46,2,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
47,2,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.4148415323277, 0.9953426480372588, 4.930767307278219e-06]"
48,2,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
49,2,[   0    1    3 ... 2876 2879 2881],[ 1  7  8  9 11 12 14 15],"[920.9436706454244, 0.9943899018232819, 4.878531868277458e-06]"
50,2,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
51,2,[   0    1    5 ... 2875 2876 2879],[ 2  5  8 10 11 12 13 15 16],"[908.4764016577923, 0.9935064935064936, 4.710470657447019e-06]"
52,2,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1082.6267310977814, 0.9931082012405238, 4.707099125625172e-06]"
53,2,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.9603342904895, 0.995850622406639, 5.1941946903865725e-06]"
54,2,[   1    2   10 ... 2881 2882 2883],[ 0  1  4  6  7 10 12 13 14],"[1036.923514825438, 0.9937586685159501, 4.531001380961361e-06]"
55,2,[   0    1    2 ... 2878 2880 2881],[ 1  5  6 10 11 13 15 16],"[917.9513127542624, 0.9944559944559944, 4.724234243463155e-06]"
56,2,[   0    1    2 ... 2878 2880 2881],[ 1  3  4  5  6  7 10 15 16],"[995.69567095327, 0.9939353099730458, 4.707429455891313e-06]"
57,2,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.9804716104222, 0.995850622406639, 5.194617323508287e-06]"
58,2,[   0    1    2 ... 2878 2880 2882],[ 2  6  9 11 13 14 15],"[952.297153542412, 0.9950460014154282, 5.124251914922363e-06]"
59,2,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
60,3,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
61,3,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
62,3,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1110.8363336864363, 0.990990990990991, 4.650085925279627e-06]"
63,3,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
64,3,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1033.4369431629013, 0.9958620689655172, 4.573634766493044e-06]"
65,3,[   0    1    5 ... 2875 2876 2879],[ 2  5  8 10 11 12 13 15 16],"[908.4764016577923, 0.9935064935064936, 4.710470657447019e-06]"
66,3,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
67,3,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.4148415323277, 0.9953426480372588, 4.930767307278219e-06]"
68,3,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
69,3,[   0    1    3 ... 2876 2879 2881],[ 1  7  8  9 11 12 14 15],"[920.9436706454244, 0.9943899018232819, 4.878531868277458e-06]"
70,3,[   1    2    4 ... 2876 2878 2879],[ 1  3  7  9 12 13 14 16],"[979.5087809037319, 0.9946308724832215, 4.628652028270778e-06]"
71,3,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.0637646373234, 0.9931224209078404, 4.777952490914445e-06]"
72,3,[   0    1    4 ... 2879 2881 2882],[4 6 9],"[815.3145541045096, 0.9978962131837307, 5.4318322570435475e-06]"
73,3,[   0    2    4 ... 2880 2881 2883],[ 0  5  8 11 14 15],"[927.2660665608207, 0.9958677685950413, 4.589276526605542e-06]"
74,3,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1084.693304947462, 0.9953395472703063, 4.9277590777557365e-06]"
75,3,[   0    1    2 ... 2879 2880 2883],[ 0  1  4  5  8 10 11 14 15],"[1095.7950560865934, 0.9939353099730458, 4.693489112450904e-06]"
76,3,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
77,3,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1033.4369431629013, 0.9958620689655172, 4.573634766493044e-06]"
78,3,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
79,3,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
80,4,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
81,4,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
82,4,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1110.8363336864363, 0.990990990990991, 4.650085925279627e-06]"
83,4,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
84,4,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1033.4369431629013, 0.9958620689655172, 4.573634766493044e-06]"
85,4,[   0    1    5 ... 2875 2876 2879],[ 2  5  8 10 11 12 13 15 16],"[908.4764016577923, 0.9935064935064936, 4.710470657447019e-06]"
86,4,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
87,4,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.4148415323277, 0.9953426480372588, 4.930767307278219e-06]"
88,4,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
89,4,[   0    1    3 ... 2876 2879 2881],[ 1  7  8  9 11 12 14 15],"[920.9436706454244, 0.9943899018232819, 4.878531868277458e-06]"
90,4,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.6084167846976, 0.9959072305593452, 4.602148505930877e-06]"
91,4,[   0    1    4 ... 2875 2876 2878],[ 1  3  4  5  7  8 10 12 13 14 15],"[952.7525541115231, 0.9923664122137404, 4.7943398751331035e-06]"
92,4,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
93,4,[   0    1    2 ... 2878 2880 2883],[ 0  1  4  7  8  9 10 11 13 14 15],"[1116.3128330840268, 0.9923398328690808, 4.834958021807187e-06]"
94,4,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.287426940312, 0.9959072305593452, 4.600726814169195e-06]"
95,4,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.416532647786, 0.995850622406639, 5.194822815840745e-06]"
96,4,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
97,4,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.4148415323277, 0.9953426480372588, 4.930767307278219e-06]"
98,4,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.5322844810414, 0.9953395472703063, 4.925709264323338e-06]"
99,4,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1110.862834483028, 0.9909972299168975, 4.65638922327186e-06]"
100,5,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
101,5,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
102,5,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1110.8363336864363, 0.990990990990991, 4.650085925279627e-06]"
103,5,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
104,5,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1033.4369431629013, 0.9958620689655172, 4.573634766493044e-06]"
105,5,[   0    1    5 ... 2875 2876 2879],[ 2  5  8 10 11 12 13 15 16],"[908.4764016577923, 0.9935064935064936, 4.710470657447019e-06]"
106,5,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
107,5,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.4148415323277, 0.9953426480372588, 4.930767307278219e-06]"
108,5,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
109,5,[   0    1    3 ... 2876 2879 2881],[ 1  7  8  9 11 12 14 15],"[920.9436706454244, 0.9943899018232819, 4.878531868277458e-06]"
110,5,[   0    1    4 ... 2877 2879 2883],[ 0  5  6  8 11 13 16],"[947.9575021993106, 0.9950354609929078, 4.343835347346077e-06]"
111,5,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1111.2174843709893, 0.9909847434119279, 4.6511602622866365e-06]"
112,5,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
113,5,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
114,5,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
115,5,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
116,5,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
117,5,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
118,5,[   0    1    6 ... 2880 2881 2883],[ 0  4  6  9 14 16],"[1165.0861007234432, 0.9960212201591512, 4.993286225806426e-06]"
119,5,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
120,6,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
121,6,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
122,6,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1110.8363336864363, 0.990990990990991, 4.650085925279627e-06]"
123,6,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
124,6,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1033.4369431629013, 0.9958620689655172, 4.573634766493044e-06]"
125,6,[   0    1    5 ... 2875 2876 2879],[ 2  5  8 10 11 12 13 15 16],"[908.4764016577923, 0.9935064935064936, 4.710470657447019e-06]"
126,6,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
127,6,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.4148415323277, 0.9953426480372588, 4.930767307278219e-06]"
128,6,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
129,6,[   0    1    3 ... 2876 2879 2881],[ 1  7  8  9 11 12 14 15],"[920.9436706454244, 0.9943899018232819, 4.878531868277458e-06]"
130,6,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
131,6,[   1    5    6 ... 2877 2881 2882],[ 1  3  5  7  9 10 16],"[1106.4879679498035, 0.9951489951489951, 4.772894764159293e-06]"
132,6,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
133,6,[   0    3    7 ... 2878 2879 2882],[ 2  6  8  9 10 11 14 16],"[942.5474789171113, 0.9945054945054945, 5.0779082349625845e-06]"
134,6,[   1    5    6 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[959.0407834229508, 0.9958217270194986, 4.590399136411625e-06]"
135,6,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
136,6,[   0    1    7 ... 2878 2879 2881],[ 2  4  7  8 10 14 15 16],"[989.806557453328, 0.9943222143364088, 4.949783147717623e-06]"
137,6,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.2689445043318, 0.9953395472703063, 4.933093741254582e-06]"
138,6,[   0    1    4 ... 2878 2879 2883],[ 0  1  2  4  5  7  8 10 12 14 15],"[1156.6479609624655, 0.9925876010781671, 4.615319445144173e-06]"
139,6,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
140,7,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
141,7,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
142,7,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1110.8363336864363, 0.990990990990991, 4.650085925279627e-06]"
143,7,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
144,7,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1033.4369431629013, 0.9958620689655172, 4.573634766493044e-06]"
145,7,[   0    1    5 ... 2875 2876 2879],[ 2  5  8 10 11 12 13 15 16],"[908.4764016577923, 0.9935064935064936, 4.710470657447019e-06]"
146,7,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
147,7,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.4148415323277, 0.9953426480372588, 4.930767307278219e-06]"
148,7,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
149,7,[   0    1    3 ... 2876 2879 2881],[ 1  7  8  9 11 12 14 15],"[920.9436706454244, 0.9943899018232819, 4.878531868277458e-06]"
150,7,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.0475149230735, 0.9930986887508627, 4.696594188044117e-06]"
151,7,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.550514957552, 0.9931224209078404, 4.796236436731833e-06]"
152,7,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
153,7,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
154,7,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.257104116622, 0.995850622406639, 5.194514565546917e-06]"
155,7,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.417110759296, 0.9931224209078404, 4.7778982466029556e-06]"
156,7,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.4066708169222, 0.9931129476584022, 4.783521382571299e-06]"
157,7,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.5391425860143, 0.9958563535911602, 5.188931546647004e-06]"
158,7,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
159,7,[   0    2    3 ... 2878 2880 2881],[ 1  4  7  8 10 11 14 15 16],"[953.0819372964676, 0.9937716262975779, 4.819231785052618e-06]"
160,8,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
161,8,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
162,8,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1110.8363336864363, 0.990990990990991, 4.650085925279627e-06]"
163,8,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
164,8,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1033.4369431629013, 0.9958620689655172, 4.573634766493044e-06]"
165,8,[   0    1    5 ... 2875 2876 2879],[ 2  5  8 10 11 12 13 15 16],"[908.4764016577923, 0.9935064935064936, 4.710470657447019e-06]"
166,8,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
167,8,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.4148415323277, 0.9953426480372588, 4.930767307278219e-06]"
168,8,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
169,8,[   0    1    3 ... 2876 2879 2881],[ 1  7  8  9 11 12 14 15],"[920.9436706454244, 0.9943899018232819, 4.878531868277458e-06]"
170,8,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1111.5642319182507, 0.9909847434119279, 4.6508446880992645e-06]"
171,8,[   0    1    5 ... 2877 2879 2882],[ 4  5 12 15 16],"[767.3315594186664, 0.9965373961218836, 4.558819434132772e-06]"
172,8,[   0    1    2 ... 2876 2878 2881],[ 1  4  8 10 13 14 15],"[917.5612753206393, 0.9951690821256038, 4.656959491743314e-06]"
173,8,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
174,8,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.7494769148996, 0.9930986887508627, 4.7107543252570585e-06]"
175,8,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[911.9788679003423, 0.9931224209078404, 4.7796380966437316e-06]"
176,8,[   0    8   10 ... 2877 2880 2883],[ 0  1  4  6  8  9 10 12 15],"[1216.117925192425, 0.99375, 4.87000868572439e-06]"
177,8,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.3547689327535, 0.9931129476584022, 4.7805272743958615e-06]"
178,8,[   0    1    2 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.7631551244733, 0.995345744680851, 4.940870174211985e-06]"
179,8,[   0    1    6 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.6847846420629, 0.9931129476584022, 4.770152820624944e-06]"
