,0,1,2,3
0,0,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
1,0,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
2,0,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1110.8363336864363, 0.990990990990991, 4.650085925279627e-06]"
3,0,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
4,0,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1033.4369431629013, 0.9958620689655172, 4.573634766493044e-06]"
5,0,[   0    1    5 ... 2875 2876 2879],[ 2  5  8 10 11 12 13 15 16],"[908.4764016577923, 0.9935064935064936, 4.710470657447019e-06]"
6,0,[   0    1    2 ... 2878 2880 2881],[ 1  4  7  8 10 11 13 14 15 16],"[912.5186983477239, 0.9931176875430144, 4.780993587391552e-06]"
7,0,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.4148415323277, 0.9953426480372588, 4.930767307278219e-06]"
8,0,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.4695535442722, 0.9959044368600682, 4.603718869721507e-06]"
9,0,[   0    1    3 ... 2876 2879 2881],[ 1  7  8  9 11 12 14 15],"[920.9436706454244, 0.9943899018232819, 4.878531868277458e-06]"
10,0,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
11,0,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
12,0,[   0    1    6 ... 2876 2880 2881],[ 1  3  4  6  8  9 15],"[1085.6134404902891, 0.995345744680851, 4.935995127001535e-06]"
13,0,[   0    1    3 ... 2880 2881 2882],[ 2  4  6  9 10 11 16],"[1023.4356751218837, 0.99519890260631, 5.05981328683393e-06]"
14,0,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[939.5616845244169, 0.9959016393442623, 4.604524780821544e-06]"
15,0,[   0    5    6 ... 2874 2875 2882],[ 1  2  5  7  8  9 10 11 13 14 15],"[1042.238799908955, 0.992371705963939, 4.9919518800540345e-06]"
16,0,[   0    1    5 ... 2878 2881 2882],[ 1  5  7 10 12 16],"[940.0827159560685, 0.9959016393442623, 4.601743479180262e-06]"
17,0,[   2    4    6 ... 2880 2881 2883],[ 0  1  7  8 14 15],"[1032.8416021724868, 0.9958649207443143, 4.575802659443193e-06]"
18,0,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
19,0,[   0    1    2 ... 2871 2875 2881],[ 1  3  8  9 12 15],"[1062.6294580870547, 0.995847750865052, 4.8056713800310306e-06]"
20,1,[   0    1    2 ... 2878 2879 2883],[ 0  1  4  5  7  8 10 12 14 15],"[1083.1371641189062, 0.993103448275862, 4.70925732845842e-06]"
21,1,[   0    1    5 ... 2878 2879 2882],[ 2  6  9 10 11 14],"[940.4822258806265, 0.9958534899792675, 5.191440884950321e-06]"
22,1,[   0    1    4 ... 2881 2882 2883],[ 0  1  2  3  4  5  7  8 10 13 14 15 16],"[1110.8363336864363, 0.990990990990991, 4.650085925279627e-06]"
23,1,[   0    1    6 ... 2873 2875 2879],[ 4  5  9 12 16],"[875.2509646388335, 0.9965397923875432, 4.545734658360562e-06]"
